split,n_samples_mean,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
test,444.0,0.2649995894764248,0.018924961846479866,0.17615699178154304,0.037717114578509424,0.4176754252419054,0.04351539868619413,0.9692126952818629,0.0040840112608244395
train,1035.0,0.1826314391413557,0.008150583864864187,0.08400253198269761,0.008419287552336641,0.28950442756836176,0.014518891946272702,0.9861361168371927,0.001220856748430403
