seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.18435333681208352,0.08860734801668382,0.29766986413925717,0.9868715997173252
123,test,444,0.26573039145324767,0.14399776739643533,0.379470377495313,0.9653247553566149
124,train,1035,0.18051849030794623,0.08141401669333055,0.2853314155387215,0.9869803550971193
124,test,444,0.24069515542130987,0.1427667873829528,0.37784492504591455,0.9731504596951043
125,train,1035,0.19116512618576978,0.09317475037373418,0.30524539369781517,0.9836060959669677
125,test,444,0.2597910249673403,0.19138252435570446,0.4374728841376394,0.9712203204424474
126,train,1035,0.18285442307104313,0.08463477458780913,0.2909205640510982,0.9849542763051456
126,test,444,0.2793921778993053,0.1722391335412271,0.415017028013583,0.974547476707729
127,train,1035,0.18940115376151045,0.091872496479733,0.30310476155899135,0.9859933023905542
127,test,444,0.2716627266197378,0.17182238712200226,0.4145146404193732,0.9627338586936496
128,train,1035,0.1964946818631041,0.0968510907189043,0.31120907878611814,0.9850991895537263
128,test,444,0.2451460202010817,0.1350057588047788,0.3674312980745908,0.9711622687315682
129,train,1035,0.17023554887701547,0.07233851315977309,0.26895819965149437,0.986847420071455
129,test,444,0.29485933910573653,0.2541603935571157,0.5041432272252755,0.9640878302154036
130,train,1035,0.1753074041713343,0.07593269001492338,0.2755588685107474,0.9865072319763245
130,test,444,0.28784079154251946,0.22006732222414896,0.469113336224999,0.9675498236993701
131,train,1035,0.18181443747953513,0.08036953390512853,0.28349520966875,0.9869877441624131
131,test,444,0.2417047164214411,0.15029967973050787,0.38768502644609304,0.9726738067609622
132,train,1035,0.17416978888421492,0.0748301058769562,0.2735509200806245,0.9875139531308956
132,test,444,0.2631735511325286,0.17982816370055685,0.4240615093362717,0.9696763525157804
