seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1789,21.540564333850725,1342.2605655142454,36.63687439608141,0.9829963576729883
123,test,768,78.85727973998523,14884.489413413366,122.00200577618946,0.8035237022513635
124,train,1789,25.983640667666723,1930.6476112510525,43.93913530386155,0.9757408382438703
124,test,768,74.82092923566675,13902.702015487783,117.9097197668105,0.8127064633643137
125,train,1789,24.297136419226533,1659.3899727410685,40.73561062192475,0.978107060674187
125,test,768,78.9198109551658,15008.690108470293,122.50995922156815,0.8191805621234065
126,train,1789,24.2028901494604,1704.2310373330345,41.28233323509022,0.977813643493101
126,test,768,78.86421832873053,15910.745898426598,126.13780519109486,0.8026359206310569
127,train,1789,26.809761846322075,2057.345859684033,45.35797459856462,0.9739501691836489
127,test,768,75.71630376854276,13301.137168520558,115.33055609213265,0.8241236757936953
128,train,1789,20.093912208532455,1187.7097064605825,34.463164487037204,0.984682266147844
128,test,768,77.50671485512133,14780.836288414963,121.57646272373186,0.8129538345807553
129,train,1789,21.30368450410986,1300.5435242090355,36.06304929160921,0.9836212380530156
129,test,768,83.52761422797691,16907.39231764627,130.02842888248043,0.7735968342913812
130,train,1789,19.002839468782593,1071.3720306460082,32.7318198492844,0.9860856118761843
130,test,768,84.7306851848262,18117.546115768226,134.60143430056095,0.7743314620282489
131,train,1789,15.9060478871962,727.9597757303832,26.98072971085814,0.9903755308452612
131,test,768,78.43158283644527,15622.4216186801,124.98968604921008,0.8126104937314932
132,train,1789,20.95171527558025,1314.4118514371496,36.25481832028882,0.9827903450047064
132,test,768,73.86613121742403,12231.600003907142,110.59656415959377,0.8498532155953673
