uncertainty_type,n_samples_mean,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MDAE_mean,MDAE_std,R2_mean,R2_std,MACE_mean,MACE_std,RMSCE_mean,RMSCE_std,miscalibration_area_mean,miscalibration_area_std,sharpness_mean,sharpness_std,NLL_mean,NLL_std,CRPS_mean,CRPS_std
aleatoric,768.0,96.92540625073308,6.605869977689163,154.8113537868302,8.983751183289174,50.91398856163025,4.918990502637509,0.6952905250740851,0.02939002103741274,0.054626025883838414,0.027549876773174286,0.06567415567468793,0.029623031702969007,0.05514708344584638,0.027861815684551147,117.36217651367187,15.416892159205325,8.15431219370019,1.3155392218822382,72.69414973026522,4.89985498382579
epistemic,768.0,96.92540625073308,6.605869977689163,154.8113537868302,8.983751183289174,50.91398856163025,4.918990502637509,0.6952905250740851,0.02939002103741274,0.2560247395833334,0.029754027180239714,0.29094492519494064,0.03522321242341633,0.2586108480639731,0.030054572909333034,35.59568061828613,2.0940354085897654,19.47218619439677,4.4893141276531585,83.65327242623043,6.798638821993471
total,768.0,96.92540625073308,6.605869977689163,154.8113537868302,8.983751183289174,50.91398856163025,4.918990502637509,0.6952905250740851,0.02939002103741274,0.03876061395202022,0.01346776196851859,0.0488236389596816,0.015279746158495484,0.0391269319184457,0.013614997345177956,122.76135559082032,14.4699450410546,7.527883213944037,0.9136310599191028,72.24305604478816,4.721028123150957
