split,n_samples_mean,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
test,444.0,0.36618012062767724,0.027810211596843912,0.46828052076443993,0.22973552656815327,0.6670632576727855,0.1609248652405175,0.9216760517819627,0.02699330465128735
train,1035.0,0.22445309058789692,0.0068504615267806135,0.18693401886401942,0.021390449341755484,0.43167670861233914,0.025587282119509343,0.9689891581792939,0.004433093484602234
