split,n_samples_mean,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
test,768.0,76.04355806567709,3.298193191661004,15608.627233316907,1840.1182101551904,124.73102500794872,7.512850752276311,0.8015869328379391,0.02476083680073393
train,1789.0,45.560401723432086,0.8051895895710092,5637.1446911587645,203.51254774604402,75.06996936494738,1.3517029196230717,0.9273362864280642,0.003002288310109093
