seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1035,0.03533402725182156,0.0021523189503347396,0.04639309162294252,0.9190438799305933
123,test,444,0.039895100924236884,0.0027163853899289598,0.05211895422904186,0.8782707122923814
124,train,1035,0.03716141777899376,0.0023499857692101146,0.04847665179455069,0.9089547863934996
124,test,444,0.041572228169754505,0.0028822481564800082,0.05368657333523912,0.8810872393230745
125,train,1035,0.030882198985005518,0.0018435796719434396,0.04293692667091393,0.9253014629719079
125,test,444,0.03762562862630999,0.002494288402268233,0.04994285136301524,0.9063727625463992
126,train,1035,0.06133552836641171,0.005040000170743926,0.07099295859973669,0.7918793952209912
126,test,444,0.06283386191605866,0.005330292139007903,0.07300884973075458,0.809461491716862
127,train,1035,0.03911493003606464,0.0026747634099702025,0.05171811491122044,0.8963505732999171
127,test,444,0.042159593690866554,0.0030729444940846735,0.05543414556105897,0.8724378071125969
128,train,1035,0.03053893036272397,0.001701233038387191,0.041246006332579535,0.9347831145877232
128,test,444,0.03526342164388275,0.0023337389847064597,0.04830878786211117,0.9008988441405406
129,train,1035,0.0348260709655318,0.0021894248810334564,0.04679129065364041,0.911588112246739
129,test,444,0.04030389754056301,0.0029923169142196853,0.05470207413087447,0.8879169777028789
130,train,1035,0.03385083890917107,0.0020093766102459564,0.04482607065364927,0.9191898874954065
130,test,444,0.041014328276391177,0.0028435227460305457,0.05332469171060013,0.8925211296855279
131,train,1035,0.03465693528002871,0.0021989999922759408,0.04689349626841595,0.9144909912643538
131,test,444,0.03912525650330615,0.002557958351558268,0.05057626272826283,0.8954916960138355
132,train,1035,0.0313955855921411,0.0018105970640490696,0.0425511111964079,0.9272791693450868
132,test,444,0.03327074074498467,0.00211052229397124,0.0459404211340214,0.9200151233949325
