seed,split,n_samples,MAE,MSE,RMSE,R2
123,train,1789,49.8944333572415,9127.797440296446,95.53950722238652,0.8843698407777095
123,test,768,93.05489533056193,21960.594631113298,148.19107473499642,0.7101186201529064
124,train,1789,52.75255746460514,10179.523242807747,100.89362340013241,0.8720912612387429
124,test,768,92.48744154662204,21364.488939010604,146.16596368173612,0.7121832369460517
125,train,1789,64.25131993891435,14295.01261246247,119.56175229755739,0.8114006659511092
125,test,768,103.8109933341816,26925.742492315465,164.09065327530226,0.6756080919331732
126,train,1789,63.246847754091704,12802.433404547437,113.14783870913062,0.8333328372462823
126,test,768,102.00886502652737,26291.60885803439,162.14687433939142,0.6738670072087919
127,train,1789,58.438255257927416,11926.49491908079,109.20849288897264,0.8489883587576076
127,test,768,90.56393173578878,21536.12454744689,146.75191497028885,0.7152352934139826
128,train,1789,62.34701830239507,11894.079618158305,109.05998174471837,0.8466036397477666
128,test,768,87.36759555295112,20914.245093914906,144.6175822433597,0.7353377528089425
129,train,1789,49.21763841805517,9229.41787310756,96.06985933739864,0.8837667210370311
129,test,768,95.09644788006011,23867.61453522993,154.4914707523685,0.680394031961437
130,train,1789,65.08165202605517,14252.225984502753,119.38268712213993,0.814899961634123
130,test,768,108.46152965128424,29241.72619079628,171.0021233517183,0.6357708955130512
131,train,1789,61.366699164093106,12015.415632089575,109.61485132996155,0.8411423254583192
131,test,768,98.8349782981278,24844.52872646817,157.6214729231654,0.7019921696416267
132,train,1789,72.07909657700093,15750.20954631266,125.49983882982743,0.7937817799655004
132,test,768,98.08829561414818,23273.434806032154,152.5563332216403,0.7143111778458779
